date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,SE,,state,187656,3876,False,2318822,28,8092.72984,0.0207
2021-04-15,SP,,state,2704098,86535,False,46289333,35,5841.73032,0.032
2021-04-15,TO,,state,151909,2345,True,1590248,17,9552.5352,0.0154
2021-04-14,AC,,state,74533,1374,False,894470,12,8332.64391,0.0184
2021-04-14,AL,,state,163018,3874,False,3351543,27,4863.96863,0.0238
2021-04-14,AM,,state,360735,12319,False,4207714,13,8573.18249,0.0341
2021-04-14,AP,,state,102258,1432,False,861773,16,11866.00184,0.014
2021-04-14,BA,,state,848627,16859,False,14930634,29,5683.79749,0.0199
2021-04-14,DF,,state,362379,6972,False,3055149,53,11861.25456,0.0192
2021-04-14,ES,,state,409315,8412,False,4064052,32,10071.59849,0.0206
2021-04-14,GO,,state,517936,13306,False,7113540,52,7280.98809,0.0257
2021-04-14,MA,,state,252458,6691,False,7114598,21,3548.45066,0.0265
2021-04-14,MG,,state,1247258,28636,False,21292666,31,5857.68828,0.023
2021-04-14,MS,,state,233948,5055,False,2809394,50,8327.34746,0.0216
2021-04-14,MT,,state,336300,8865,False,3526220,51,9537.12474,0.0264
2021-04-14,PA,,state,445864,11555,False,8690745,15,5130.33117,0.0259
2021-04-14,PB,,state,275301,6316,False,4039277,25,6815.60091,0.0229
